sport_key,commence_time,home_team,away_team,bookmaker,market_type,selection_name,decimal_odds
soccer_epl,2026-04-22T19:00:00Z,Burnley,Manchester City,Betsson,H2H,Burnley,61.0
soccer_epl,2026-04-22T19:00:00Z,Burnley,Manchester City,Betsson,H2H,Manchester City,1.0
soccer_epl,2026-04-22T19:00:00Z,Burnley,Manchester City,Betsson,H2H,Draw,21.0
soccer_epl,2026-04-22T19:00:00Z,Burnley,Manchester City,Coolbet,H2H,Burnley,250.0
soccer_epl,2026-04-22T19:00:00Z,Burnley,Manchester City,Coolbet,H2H,Manchester City,1.0
soccer_epl,2026-04-22T19:00:00Z,Burnley,Manchester City,Coolbet,H2H,Draw,28.0
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Pinnacle,H2H,Barcelona,1.19
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Pinnacle,H2H,Celta Vigo,21.85
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Pinnacle,H2H,Draw,6.12
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Nordic Bet,H2H,Barcelona,1.14
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Nordic Bet,H2H,Celta Vigo,19.5
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Nordic Bet,H2H,Draw,6.3
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Betsson,H2H,Barcelona,1.14
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Betsson,H2H,Celta Vigo,19.5
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Betsson,H2H,Draw,6.3
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Winamax (DE),H2H,Barcelona,1.15
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Winamax (DE),H2H,Celta Vigo,20.0
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Winamax (DE),H2H,Draw,6.5
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Winamax (FR),H2H,Barcelona,1.16
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Winamax (FR),H2H,Celta Vigo,19.0
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Winamax (FR),H2H,Draw,6.0
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Tipico,H2H,Barcelona,1.12
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Tipico,H2H,Celta Vigo,20.0
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Tipico,H2H,Draw,7.0
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Betclic (FR),H2H,Barcelona,1.17
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Betclic (FR),H2H,Celta Vigo,17.0
soccer_spain_la_liga,2026-04-22T19:33:00Z,Barcelona,Celta Vigo,Betclic (FR),H2H,Draw,6.25
