league,match_date_utc,home_team_fixture,away_team_fixture,status,match_key,sport_key,commence_time,home_team_odds,away_team_odds,bookmaker,market_type,selection_name,decimal_odds
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Betfair,H2H,Levante,2.56
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Betfair,H2H,Sevilla,3.2
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Betfair,H2H,Draw,3.3
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Nordic Bet,H2H,Levante,2.48
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Nordic Bet,H2H,Sevilla,2.98
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Nordic Bet,H2H,Draw,3.2
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Betsson,H2H,Levante,2.48
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Betsson,H2H,Sevilla,2.98
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Betsson,H2H,Draw,3.2
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (SE),H2H,Levante,2.55
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (SE),H2H,Sevilla,2.95
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (SE),H2H,Draw,3.35
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,PMU (FR),H2H,Levante,2.45
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,PMU (FR),H2H,Sevilla,2.8
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,PMU (FR),H2H,Draw,3.2
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (NL),H2H,Levante,2.55
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (NL),H2H,Sevilla,2.95
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (NL),H2H,Draw,3.35
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,LeoVegas (SE),H2H,Levante,2.48
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,LeoVegas (SE),H2H,Sevilla,2.85
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,LeoVegas (SE),H2H,Draw,3.25
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,BetOnline.ag,H2H,Levante,2.56
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,BetOnline.ag,H2H,Sevilla,3.03
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,BetOnline.ag,H2H,Draw,3.18
