league,match_date_utc,home_team,away_team,status
Premier League,2026-04-24T19:00:00Z,Sunderland,Nottingham Forest,TIMED
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED
Primera Division,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,TIMED
Primera Division,2026-04-23T19:30:00Z,Oviedo,Villarreal,TIMED
Primera Division,2026-04-24T19:00:00Z,Real Betis Balompié,Real Madrid,TIMED
Serie A,2026-04-24T18:45:00Z,Napoli,Cremonese,TIMED
