match_key,selection_name,decimal_odds,home_team_fixture,away_team_fixture,match_date_utc
Levante vs Sevilla,Draw,3.35,Levante,Sevilla,2026-04-23T17:00:00Z
Levante vs Sevilla,Levante,2.56,Levante,Sevilla,2026-04-23T17:00:00Z
Levante vs Sevilla,Sevilla,3.2,Levante,Sevilla,2026-04-23T17:00:00Z
Oviedo vs Villarreal,Draw,3.45,Oviedo,Villarreal,2026-04-23T19:30:00Z
Oviedo vs Villarreal,Oviedo,3.8,Oviedo,Villarreal,2026-04-23T19:30:00Z
Oviedo vs Villarreal,Villarreal,2.22,Oviedo,Villarreal,2026-04-23T19:30:00Z
Rayo Vallecano vs Espanyol,Draw,3.35,Rayo Vallecano,Espanyol,2026-04-23T18:00:00Z
Rayo Vallecano vs Espanyol,Espanyol,4.1,Rayo Vallecano,Espanyol,2026-04-23T18:00:00Z
Rayo Vallecano vs Espanyol,Rayo Vallecano,2.18,Rayo Vallecano,Espanyol,2026-04-23T18:00:00Z
