match_key,match_date_utc,home_team,away_team,market_name,market_probability,market_odds_est,model_probability,edge,expected_value,lambda_home,lambda_away
Levante vs Sevilla,2026-04-23T17:00:00Z,Levante,Sevilla,HOME_WIN,0.389988358556461,2.56,0.3044776998714506,-0.0855106586850104,-0.22053708832908636,1.114,1.371
Levante vs Sevilla,2026-04-23T17:00:00Z,Levante,Sevilla,DRAW,0.2980209545983702,3.35,0.26826329573471414,-0.029757658863656056,-0.10131795928870757,1.114,1.371
Levante vs Sevilla,2026-04-23T17:00:00Z,Levante,Sevilla,AWAY_WIN,0.3119906868451688,3.2,0.42654742334673956,0.11455673650157078,0.36495175470956664,1.114,1.371
Levante vs Sevilla,2026-04-23T17:00:00Z,Levante,Sevilla,1X,0.6880093131548313,1.4534686971235191,0.5727409956061648,-0.11526831754866651,-0.16753889132708055,1.114,1.371
Levante vs Sevilla,2026-04-23T17:00:00Z,Levante,Sevilla,X2,0.610011641443539,1.6393129770992363,0.6948107190814536,0.08479907763791461,0.13901222841787897,1.114,1.371
Levante vs Sevilla,2026-04-23T17:00:00Z,Levante,Sevilla,12,0.7019790454016298,1.4245439469320067,0.7310251232181901,0.029046077816560323,0.04137741433569708,1.114,1.371
Levante vs Sevilla,2026-04-23T17:00:00Z,Levante,Sevilla,HOME_DNB,0.5555555555555556,1.7999999999999998,0.41610281143019506,-0.13945274412536052,-0.251014939425649,1.114,1.371
Levante vs Sevilla,2026-04-23T17:00:00Z,Levante,Sevilla,AWAY_DNB,0.4444444444444444,2.25,0.5829247335283292,0.13848028908388477,0.3115806504387406,1.114,1.371
Oviedo vs Villarreal,2026-04-23T19:30:00Z,Oviedo,Villarreal,HOME_WIN,0.2622496147919876,3.8,0.28618069801434265,0.023931083222355043,0.08748665245450193,1.021,1.333
Oviedo vs Villarreal,2026-04-23T19:30:00Z,Oviedo,Villarreal,DRAW,0.2888546481766821,3.45,0.27550341063215517,-0.01335123754452694,-0.04951323331906465,1.021,1.333
Oviedo vs Villarreal,2026-04-23T19:30:00Z,Oviedo,Villarreal,AWAY_WIN,0.4488957370313302,2.22,0.43775381354004006,-0.011141923491290118,-0.028186533941111036,1.021,1.333
Oviedo vs Villarreal,2026-04-23T19:30:00Z,Oviedo,Villarreal,1X,0.5511042629686698,1.814538676607642,0.5616841086464979,0.010579845677828104,0.019197539174959255,1.021,1.333
Oviedo vs Villarreal,2026-04-23T19:30:00Z,Oviedo,Villarreal,X2,0.7377503852080123,1.3554720133667504,0.7132572241721953,-0.024493161035817,-0.03319979430293485,1.021,1.333
Oviedo vs Villarreal,2026-04-23T19:30:00Z,Oviedo,Villarreal,12,0.7111453518233177,1.406182290914344,0.7239345115543827,0.01278915973106498,0.017983889929498398,1.021,1.333
Oviedo vs Villarreal,2026-04-23T19:30:00Z,Oviedo,Villarreal,HOME_DNB,0.3687707641196012,2.7117117117117124,0.3950062736168957,0.02623550949729453,0.0711431383665373,1.021,1.333
Oviedo vs Villarreal,2026-04-23T19:30:00Z,Oviedo,Villarreal,AWAY_DNB,0.6312292358803986,1.5842105263157895,0.6042179079434998,-0.027011327936898755,-0.04279163004740283,1.021,1.333
Rayo Vallecano vs Espanyol,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,HOME_WIN,0.4581998932479317,2.18,0.5009474605104879,0.042747567262556185,0.09206546391286374,1.5,0.943
Rayo Vallecano vs Espanyol,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,DRAW,0.2981718708299973,3.35,0.26075806905332866,-0.03741380177666864,-0.12646046867134897,1.5,0.943
Rayo Vallecano vs Espanyol,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,AWAY_WIN,0.243628235922071,4.1,0.23731055388619526,-0.006317682035875738,-0.02702672906659953,1.5,0.943
Rayo Vallecano vs Espanyol,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,1X,0.756371764077929,1.3221011776121376,0.7617055295638165,0.005333765485887487,0.007051777629998757,1.5,0.943
Rayo Vallecano vs Espanyol,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,X2,0.5418001067520684,1.8456991564558831,0.4980686229395239,-0.043731483812544436,-0.08071516278337743,1.5,0.943
Rayo Vallecano vs Espanyol,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,12,0.7018281291700027,1.424850270938302,0.7382580143966831,0.03642988522668045,0.0519071318354869,1.5,0.943
Rayo Vallecano vs Espanyol,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,HOME_DNB,0.6528662420382165,1.5317073170731708,0.6776502245604167,0.024783982522200154,0.037961807375467504,1.5,0.943
Rayo Vallecano vs Espanyol,2026-04-23T18:00:00Z,Rayo Vallecano,Espanyol,AWAY_DNB,0.3471337579617834,2.8807339449541285,0.3210187950002998,-0.026114962961483634,-0.07523026027436575,1.5,0.943
